frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 40.5552, 33.7049, 81.163, 30.8756, 17.2995, 68.5412, 66.745, 37.8772, 42.224, 55.4683, 14.9169, 138.501
1, 42.3927, 36.1102, 82.4452, 30.3297, 20.0379, 67.9575, 58.6107, 42.1495, 53.0861, 58.2699, 18.0072, 131.862
2, 42.6086, 36.0936, 81.9816, 30.5597, 20.61, 68.0942, 58.184, 42.1577, 53.1657, 58.1938, 18.1395, 132.019
3, 42.4684, 36.9195, 82.5121, 30.4114, 21.3059, 60.8958, 57.43, 40.8399, 52.1178, 57.3312, 17.5761, 132.479
4, 42.4084, 36.0589, 80.815, 31.2348, 22.1485, 60.6741, 63.266, 35.648, 41.7144, 53.5652, 13.988, 132.082
5, 42.9016, 37.0676, 80.6442, 30.9386, 21.5428, 60.6655, 59.6146, 38.7804, 48.2256, 58.3278, 17.6869, 132.152
6, 43.4624, 36.6817, 79.3679, 31.8891, 21.4868, 67.3034, 60.3637, 39.0273, 47.5445, 58.0526, 15.92, 131.441
7, 43.4081, 37.181, 80.5866, 31.9225, 21.5775, 60.6298, 59.9392, 38.2682, 47.0591, 57.0603, 15.4279, 131.86
8, 43.5599, 37.2138, 79.5574, 31.8973, 21.5001, 60.6238, 59.6098, 38.5283, 47.8653, 57.3856, 15.7591, 133.441
9, 45.4477, 39.4467, 78.6071, 32.499, 19.5906, 59.6741, 59.8522, 37.4117, 45.754, 56.8043, 13.5814, 131.543
10, 45.5342, 38.2552, 78.5603, 32.4669, 19.5674, 59.6267, 60.1583, 37.3418, 45.6179, 56.8294, 13.5712, 131.829
11, 45.4619, 38.1276, 78.6481, 32.4008, 19.4526, 59.4515, 60.6768, 36.9117, 44.0524, 56.6628, 13.4963, 131.93
12, 45.9865, 34.0868, 77.2914, 33.1797, 18.8868, 66.188, 61.036, 37.0725, 43.7334, 56.818, 13.0786, 131.48
13, 43.293, 36.3585, 81.5073, 28.47, 16.5227, 65.0065, 56.2276, 33.1231, 45.3904, 51.4514, 18.0382, 61.6943
14, 43.1699, 35.8444, 81.0034, 28.5293, 15.8814, 65.0719, 57.1277, 32.1205, 44.5298, 49.9403, 17.3846, 61.7863
15, 44.8975, 34.1478, 72.5702, 32.5061, 14.5956, 60.294, 61.1547, 35.0888, 42.8568, 53.5166, 16.354, 135.52
16, 42.833, 35.1487, 74.3057, 28.2053, 15.6156, 64.7568, 56.911, 31.7319, 44.9395, 48.982, 17.6837, 62.5942
17, 46.0713, 33.172, 70.8996, 33.5994, 15.1516, 64.2441, 62.251, 35.2974, 41.7583, 54.124, 15.3859, 135.732
18, 43.5409, 35.2275, 72.7376, 29.7745, 17.9957, 68.6856, 58.7922, 33.0035, 44.0048, 50.5976, 15.1491, 76.9308
19, 43.4682, 35.2845, 72.7396, 29.7925, 18.0427, 68.5057, 58.3638, 33.4017, 44.2393, 50.8756, 15.0764, 76.8195
20, 43.3754, 34.777, 71.6868, 30.1296, 21.0723, 72.6641, 58.5923, 34.2439, 44.7269, 51.5415, 12.3841, 73.9414
21, 43.8678, 34.7237, 74.7055, 30.7888, 20.3601, 72.2435, 59.1003, 34.4809, 44.2463, 52.1857, 15.194, 76.4086
22, 45.3891, 33.0358, 71.2911, 34.0396, 17.8389, 68.1416, 62.3025, 36.7568, 42.6998, 55.0742, 14.7049, 130.702
23, 45.1868, 32.8071, 68.0307, 33.9713, 17.559, 69.6979, 62.36, 36.8188, 42.7754, 54.9929, 14.8799, 130.769
24, 43.8334, 32.0198, 74.2834, 33.665, 18.5155, 69.957, 62.9913, 38.0747, 44.0773, 55.4374, 16.5452, 130.919
25, 41.5589, 33.4535, 77.8069, 30.164, 21.1635, 74.7899, 59.3859, 36.2096, 46.3154, 52.3852, 15.1686, 75.5159
26, 41.3942, 33.3314, 78.447, 30.1117, 20.9946, 74.5318, 59.1778, 36.6639, 47.0253, 52.8051, 15.5338, 75.6611
27, 41.1201, 33.0069, 79.3188, 30.1605, 20.6841, 74.4665, 59.4264, 36.8182, 47.1728, 52.7669, 15.7124, 75.6115
28, 40.7603, 32.6815, 79.404, 30.1571, 20.7202, 74.9268, 60.8163, 35.7967, 45.114, 52.6173, 15.6512, 74.8917
29, 42.8438, 30.9065, 77.2545, 33.7465, 17.758, 71.6558, 64.1184, 38.2966, 43.5633, 55.9987, 17.5578, 130.911
30, 41.1701, 30.0575, 77.1072, 32.7082, 19.3741, 63.5146, 63.534, 38.7829, 45.4531, 55.4368, 19.0448, 132.223
31, 39.0335, 32.1156, 80.2258, 29.1166, 22.3106, 67.3008, 60.1365, 36.6381, 47.4333, 52.0629, 17.1994, 76.1059
32, 39.1461, 32.239, 80.3002, 28.9103, 22.5066, 67.4804, 60.1442, 36.5338, 47.5271, 52.0434, 15.9508, 75.372
33, 39.3622, 32.7545, 79.9382, 28.8994, 22.3629, 66.4343, 59.9847, 36.2809, 47.3739, 51.9446, 16.9389, 76.3513
34, 39.5197, 33.146, 79.6213, 28.8618, 21.9658, 65.9662, 59.5487, 36.3036, 47.7682, 52.6078, 17.2677, 76.5064
35, 42.1286, 35.2696, 78.5548, 29.7693, 19.8206, 64.9687, 59.0077, 34.7337, 45.5292, 52.4609, 14.707, 75.5819
36, 44.1235, 33.5499, 74.7914, 33.2979, 17.3395, 60.9629, 62.6172, 37.1548, 43.6565, 55.8977, 13.3301, 132.995
37, 42.4247, 37.0006, 79.1335, 29.1402, 20.5533, 64.5059, 59.4266, 33.4652, 44.988, 51.2907, 16.1541, 60.6733
38, 41.8518, 39.5333, 79.5484, 29.7119, 19.7933, 63.2006, 60.2807, 33.8941, 44.9807, 51.9247, 15.4359, 59.7084
39, 42.2718, 38.8157, 81.2858, 30.1517, 19.7511, 62.3895, 59.4759, 34.6879, 47.9123, 51.4843, 15.0165, 59.7692
40, 43.5301, 36.8087, 73.9029, 34.78, 18.6594, 59.5, 62.8818, 39.2775, 49.7395, 56.2854, 13.5983, 134.885
41, 43.7308, 36.1082, 74.253, 34.2892, 18.3379, 58.0401, 62.0187, 39.6016, 52.1796, 55.9127, 13.3417, 135.132
42, 43.5973, 36.2217, 72.1436, 33.9701, 18.7219, 57.1504, 61.4394, 39.9815, 54.1233, 55.6248, 13.5617, 135.563
43, 44.5273, 36.2303, 81.0084, 34.9082, 18.2, 56.2738, 60.4886, 42.3938, 60.7798, 56.418, 13.1606, 135.334
44, 42.9812, 34.1237, 83.6219, 32.1327, 21.5411, 63.3571, 56.0869, 41.9739, 67.5561, 53.1218, 9.85557, 71.9552
45, 42.9527, 34.4274, 81.0303, 32.1101, 20.4987, 62.0082, 54.8585, 43.2635, 72.1596, 52.8337, 9.92802, 72.9835
46, 43.0662, 35.3034, 85.8106, 30.9635, 13.4599, 54.7844, 54.2555, 42.8424, 74.7701, 50.8091, 9.78823, 73.577
47, 42.7069, 27.8623, 80.0172, 37.2726, 15.5855, 61.382, 58.3653, 50.1048, 83.231, 57.4417, 7.46346, 134.671
48, 42.996, 27.5725, 79.6528, 37.2645, 15.9142, 61.0769, 57.8975, 51.9527, 87.6177, 57.5411, 11.3879, 134.894
49, 40.7951, 41.4972, 86.4735, 33.2391, 19.911, 64.2466, 52.4321, 55.3649, 98.3427, 54.226, 7.4273, 70.5863
50, 40.9765, 41.2619, 87.4487, 31.6174, 13.6047, 61.2577, 51.1113, 58.3535, 104.556, 52.8982, 7.88103, 71.6766
51, 43.0997, 42.8761, 92.283, 32.5638, 13.473, 58.7368, 50.0627, 62.4641, 111.67, 53.3749, 7.01913, 71.8868
52, 41.5904, 42.6307, 93.9024, 31.0333, 14.3591, 58.3997, 52.439, 64.9989, 112.873, 56.6605, 5.48174, 71.3146
53, 38.5008, 22.9407, 75.6904, 43.3953, 21.2371, 48.8071, 71.3119, 6.57094, 159.633, 75.9281, 21.4419, 126.444
54, 56.5641, 26.2513, 60.6557, 62.9291, 28.649, 29.0227, 40.5469, 31.0983, 145.906, 40.5092, 53.4798, 102.429
55, 56.5574, 23.8065, 57.5385, 62.999, 33.2247, 22.5379, 27.6301, 38.3604, 144.716, 55.4158, 46.6771, 134.003
56, 56.6222, 24.4548, 61.0422, 62.384, 32.9312, 21.629, 29.8762, 36.9785, 147.833, 57.4203, 48.6719, 133.925
57, 55.3701, 23.9644, 66.0053, 60.8139, 29.06, 23.6115, 29.4547, 39.9445, 155.161, 55.9831, 51.9137, 99.4162
58, 56.5686, 24.8773, 50.7442, 61.5998, 30.4896, 24.714, 32.5571, 36.4322, 152.529, 58.1928, 52.0213, 134.154
59, 55.5692, 23.467, 46.8867, 61.5319, 30.3732, 36.5694, 33.089, 36.4115, 150.43, 58.8879, 54.1427, 135.457
60, 54.891, 23.992, 40.9182, 59.743, 27.9588, 35.7421, 31.3175, 37.8327, 150.336, 56.2136, 55.3474, 137.157
61, 55.0027, 24.5065, 45.5577, 58.6628, 25.4266, 32.4242, 32.5818, 36.7001, 148.024, 55.3256, 55.0773, 137.601
62, 55.7876, 25.5583, 44.7769, 60.1137, 27.2948, 38.5852, 31.7125, 36.873, 145.71, 55.3545, 55.0588, 139.418
63, 55.973, 26.1477, 45.1653, 59.4207, 20.9396, 34.1689, 32.3195, 36.8924, 145.65, 54.6636, 51.2009, 137.122
64, 56.9004, 27.2924, 45.7287, 60.19, 21.79, 36.5281, 29.582, 37.6686, 145.495, 52.0625, 50.2995, 141.141
65, 56.3971, 26.4457, 43.4023, 59.5636, 21.8222, 36.2587, 27.675, 38.5787, 145.634, 51.4963, 49.2016, 144.197
66, 55.664, 27.3095, 44.6479, 56.8472, 21.0387, 39.7808, 24.4574, 42.1315, 147.919, 47.8509, 45.7695, 112.58
67, 69.5834, 32.7795, 25.2199, 76.0243, 38.6774, 33.0546, 17.451, 74.1497, 128.42, 11.9178, 68.7456, 130.742
68, 71.5146, 34.8471, 25.5894, 77.5675, 40.2864, 36.2198, 17.5114, 74.0656, 127.011, 10.2381, 76.7862, 133.926
69, 72.0994, 35.6903, 24.9635, 78.2778, 41.7562, 39.0588, 15.4703, 72.8458, 127.106, 11.2507, 76.4703, 128.411
70, 73.6664, 37.3932, 36.2268, 79.7652, 44.0182, 42.0211, 13.7173, 69.7759, 126.331, 10.9381, 77.5742, 129.571
71, 73.9224, 45.4958, 42.262, 79.8099, 46.0642, 43.4594, 10.7824, 69.9823, 128.902, 14.2589, 77.6583, 131.556
72, 73.0852, 47.3839, 48.9216, 79.4958, 47.3459, 45.0562, 10.3301, 72.7566, 127.016, 15.4351, 78.1538, 134.094
73, 71.8267, 46.1627, 52.1574, 78.3466, 49.8151, 48.3218, 10.5946, 71.8299, 130.344, 14.9222, 77.059, 136.332
74, 70.0451, 44.8796, 55.3936, 78.0286, 51.2007, 52.1892, 10.8036, 72.1399, 134.193, 16.6924, 74.9921, 135.393
75, 69.1387, 43.7367, 59.3541, 76.4806, 51.5424, 53.5374, 11.5225, 72.088, 136.377, 16.2617, 73.0525, 136.39
76, 69.0849, 44.3632, 62.3752, 77.0449, 51.3805, 53.5777, 14.2633, 73.2437, 137.284, 18.2352, 74.6812, 139.934
77, 68.4367, 44.767, 65.8906, 75.2763, 48.9866, 52.2134, 12.7131, 74.9992, 137.766, 22.0243, 73.6602, 142.346
78, 68.2071, 43.3044, 66.4431, 74.5419, 47.2749, 52.4321, 14.889, 64.9142, 137.731, 23.3319, 74.7979, 144.156
79, 68.2691, 41.4709, 66.0263, 73.9362, 43.287, 51.7804, 15.444, 64.6009, 138.812, 21.712, 78.3892, 131.899
80, 68.6406, 41.2159, 63.1156, 74.5711, 41.1264, 50.7295, 16.2961, 62.2545, 135.839, 21.1239, 76.2495, 136.724
81, 68.166, 38.1874, 54.0713, 75.6253, 42.957, 51.4399, 16.9649, 75.0337, 112.255, 23.2992, 64.2592, 134.973
82, 69.6221, 36.0491, 48.0784, 76.7839, 39.9655, 48.1466, 15.5524, 75.7671, 111.198, 19.8996, 62.4182, 133.981
83, 70.6591, 36.054, 39.8047, 77.8158, 39.457, 42.2916, 15.8609, 76.848, 113.134, 16.5857, 71.6624, 133.128
84, 71.6604, 36.8575, 32.2448, 78.9384, 35.5685, 37.4767, 14.0899, 78.9719, 113.712, 14.0625, 72.9064, 132.316
85, 71.734, 36.8166, 26.1126, 78.376, 31.6639, 30.2181, 14.3556, 78.855, 111.46, 14.7208, 75.4859, 133.656
86, 73.8824, 38.8792, 26.0998, 80.6215, 29.5067, 30.7554, 15.0268, 77.9029, 122.65, 15.2229, 73.9665, 133.15
87, 75.2671, 40.0139, 25.2006, 81.6988, 30.8554, 32.101, 15.043, 84.2851, 122.388, 19.0786, 73.6202, 134.27
88, 74.5292, 38.4305, 24.0408, 81.5096, 31.3931, 34.9767, 15.5794, 73.2004, 126.37, 16.0705, 78.1771, 136.735
89, 73.9423, 37.091, 22.1062, 81.0593, 31.8722, 40.5833, 15.6058, 67.356, 124.006, 16.7766, 81.3312, 139.675
90, 73.3552, 36.0598, 21.6784, 80.2796, 32.0589, 45.1565, 15.9229, 71.4194, 117.944, 20.3061, 83.4395, 141.794
91, 74.1322, 36.6594, 20.9131, 81.218, 35.0022, 52.9506, 14.3947, 74.6481, 131.392, 20.0563, 85.8969, 142.856
92, 71.5449, 48.1011, 34.6557, 77.5162, 34.2335, 64.4336, 14.2319, 78.7151, 131.789, 15.0938, 85.1775, 144.982
93, 71.2661, 50.8977, 41.208, 77.5663, 38.2612, 70.6469, 13.2341, 77.9547, 134.667, 15.0224, 87.249, 146.232
94, 70.2619, 51.2252, 43.8751, 76.0679, 40.7153, 75.0524, 14.4795, 76.9072, 136.296, 16.9115, 88.0038, 147.069
95, 69.0115, 49.4313, 46.2194, 74.7752, 40.5015, 67.8682, 16.897, 81.9963, 140.411, 19.29, 85.3349, 148.589
96, 68.6456, 50.5463, 49.9448, 74.0904, 40.8809, 80.8889, 18.5974, 68.3087, 138.938, 20.2813, 87.1628, 149.969
97, 68.6724, 50.7515, 52.4736, 74.0273, 39.8327, 80.4887, 18.3834, 85.1603, 137.513, 18.8634, 77.2894, 149.03
98, 68.9631, 50.7022, 51.9836, 74.0458, 40.0787, 81.7558, 18.7766, 80.1852, 136.44, 18.5008, 83.3871, 151.902
99, 69.6595, 50.7083, 54.3741, 74.4928, 39.1571, 77.8499, 18.4893, 80.8801, 134.209, 18.3567, 80.8746, 151.78
100, 70.1898, 50.9535, 49.5796, 74.8883, 37.743, 75.6232, 18.2708, 81.0863, 134.107, 18.9623, 82.5097, 150.816
101, 69.477, 50.6239, 49.3626, 74.7099, 34.6028, 68.6479, 18.522, 83.5505, 136.224, 14.4197, 68.4018, 135.513
102, 70.5147, 44.5095, 45.115, 75.1051, 33.6239, 66.5829, 13.5512, 80.2886, 132.173, 14.6523, 67.4544, 133.894
103, 72.5714, 41.4212, 38.9661, 77.4699, 33.7187, 59.8408, 11.131, 78.7886, 130.46, 13.4675, 77.6434, 135.858
104, 73.8401, 42.944, 35.1423, 78.2087, 32.9791, 55.1817, 10.3088, 79.9588, 130.211, 14.5824, 77.0833, 130.718
105, 74.629, 43.1333, 21.1056, 79.2982, 31.5223, 49.389, 13.0806, 70.4424, 130.564, 19.4128, 81.6855, 129.796
106, 74.7561, 44.6938, 24.2982, 79.645, 30.2613, 43.3728, 12.8064, 71.8929, 132.312, 20.6538, 75.1853, 129.744
107, 76.2641, 44.1217, 24.0139, 80.8041, 30.3646, 39.3225, 10.2751, 75.6856, 129.627, 18.6909, 78.5965, 132.809
108, 76.2631, 44.7916, 28.8738, 80.7923, 29.5936, 37.3188, 9.89894, 75.7318, 130.045, 17.3972, 75.1656, 131.992
109, 74.7935, 44.1363, 32.9305, 79.6822, 27.3577, 32.407, 15.2344, 75.2698, 137.086, 22.183, 75.1221, 128.244
110, 70.3519, 41.9815, 28.0685, 76.0953, 23.5572, 38.4546, 19.5406, 79.5946, 143.279, 27.9145, 74.7946, 126.564
111, 69.7464, 41.5371, 44.6498, 75.5629, 22.239, 39.7211, 20.6695, 79.9375, 142.595, 28.428, 74.539, 126.378
112, 66.9475, 42.9809, 41.5478, 73.3922, 21.8485, 42.1665, 25.7762, 83.5824, 146.464, 33.9934, 64.7919, 125.464
113, 67.1412, 37.954, 38.3573, 73.0355, 19.8966, 40.7125, 19.2224, 75.4911, 145.382, 27.8774, 67.5731, 130.66
114, 66.7816, 36.6352, 40.8181, 72.3516, 19.2182, 41.4444, 20.0002, 76.232, 145.454, 28.4852, 69.5398, 129.203
115, 64.575, 36.7995, 37.7678, 70.5238, 17.0954, 43.3767, 21.1181, 84.2448, 146.436, 30.2227, 64.7734, 126.476
116, 65.473, 36.0026, 38.3647, 70.6954, 17.2179, 46.2843, 22.0916, 87.8592, 143.508, 30.3226, 62.861, 126.87
117, 63.6048, 36.2592, 30.9677, 69.8254, 16.4565, 34.8653, 22.899, 87.8937, 146.182, 32.4841, 62.7668, 127.008
118, 62.2746, 34.7488, 30.2662, 68.8843, 18.6623, 32.086, 21.5313, 87.2469, 149.524, 33.4773, 60.9426, 121.649
119, 61.2564, 35.6966, 28.2506, 63.6978, 12.4333, 36.6572, 17.9428, 70.1367, 141.898, 33.6654, 60.0066, 119.906
120, 54.5018, 37.4011, 20.033, 59.5456, 22.8137, 23.9353, 16.156, 66.4849, 139.887, 30.3249, 61.4663, 119.154
121, 32.9946, 35.231, 12.4376, 38.3279, 55.4064, 10.6754, 14.3743, 81.0241, 133.044, 25.5921, 52.1671, 107.187
122, 35.0344, 7.81922, 41.334, 42.3455, 56.9828, 13.2723, 26.6803, 85.1077, 154.088, 39.4591, 44.079, 98.1908
123, 34.9437, 7.13797, 41.4526, 42.0074, 57.0264, 13.5021, 41.5157, 91.5397, 137.877, 27.3824, 56.3773, 119.681
124, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf, inf
125, nan, inf, inf, nan, inf, inf, nan, inf, inf, inf, inf, inf
126, nan, nan, inf, nan, inf, inf, nan, inf, inf, nan, nan, inf
