frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 63.8531, 38.6577, 30.1893, 69.2156, 46.8372, 22.6391, 13.717, 68.6305, 115.536, 10.0842, 69.988, 122.665
1, 63.409, 38.1243, 30.0736, 70.0448, 47.2298, 20.0628, 13.4122, 68.0783, 117.523, 9.91327, 69.1525, 128.977
2, 63.1252, 37.8156, 30.6995, 70.0954, 47.2689, 18.9459, 13.4625, 68.103, 117.665, 10.0249, 69.005, 128.676
3, 62.8552, 37.5367, 30.7323, 69.9826, 47.2352, 18.2948, 13.5287, 68.1611, 117.089, 10.1685, 68.8812, 128.468
4, 62.7021, 37.3586, 30.9033, 69.9915, 47.2216, 17.3368, 13.5072, 67.9113, 117.279, 10.3267, 68.9901, 128.541
5, 62.501, 37.3167, 30.9169, 70.0338, 47.1159, 16.3773, 13.6439, 68.0818, 116.647, 10.6207, 69.0835, 128.509
6, 62.3029, 37.2169, 30.9917, 69.9218, 46.8558, 16.0835, 13.844, 68.3972, 117.024, 10.9124, 70.1356, 124.531
7, 62.5645, 37.4464, 30.5133, 70.3254, 47.0495, 15.6491, 13.6282, 68.2827, 116.85, 10.849, 70.0187, 129.345
8, 62.1026, 37.0914, 30.3495, 69.7918, 46.5846, 15.0606, 14.1581, 69.0385, 117.29, 11.3675, 70.593, 121.488
9, 62.4332, 37.3575, 29.6823, 70.1825, 46.784, 14.5773, 13.7944, 67.4566, 116.689, 11.1261, 70.2152, 129.591
10, 62.1084, 37.1025, 29.8975, 69.8345, 46.4404, 14.6454, 14.0783, 68.1101, 117.09, 11.4913, 70.5222, 123.134
11, 62.3852, 37.0522, 28.8577, 70.0238, 46.486, 14.153, 13.9839, 68.3813, 115.9, 11.2733, 70.2985, 129.694
12, 66.5508, 40.429, 27.0253, 68.3787, 44.7041, 15.6879, 15.2559, 70.0302, 118.311, 12.1271, 71.308, 125.379
