frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
157, 70.7727, 41.9295, 35.9267, 70.216, 20.5762, 32.2057, 19.0582, 62.7585, 102.702, 25.5661, 57.0274, 104.412
158, 66.3987, 40.0291, 9.93894, 65.5855, 17.5484, 34.0533, 21.3732, 61.5508, 107.509, 27.1856, 46.3408, 92.1683
159, 64.4476, 44.0385, 9.79819, 64.5811, 12.3907, 35.7876, 22.0524, 62.7998, 108.446, 28.1913, 47.5337, 75.2315
160, 59.1945, 39.8342, 12.5291, 62.1257, 14.1516, 34.3428, 21.7643, 57.962, 104.434, 28.5403, 40.7562, 79.0489
161, 21.0615, 58.5371, 5.0263, 61.2674, 14.5887, 32.5196, 26.7329, 45.098, 86.4809, 28.069, 48.7171, 89.2901
162, 45.9005, 78.9362, 6.09281, 39.6733, 10.6739, 60.305, 19.5528, 58.4614, 104.174, 33.4723, 15.4753, 17.7842
163, 22.5897, 58.2977, 9.37965, 33.8457, 15.1929, 32.859, 32.9745, 49.9504, 99.2001, 40.9871, 23.1213, 40.6379
164, 25.6752, 66.1814, 8.45928, 29.6907, 18.5676, 29.2192, 31.1853, 53.3506, 100.598, 38.62, 30.4473, 48.5206
165, 28.2705, 65.7191, 10.3994, 28.2838, 18.786, 31.0861, 33.3899, 52.3932, 100.136, 36.0343, 30.9481, 20.4788
166, 25.5963, 61.849, 24.0981, 23.92, 22.6827, 25.7174, 33.3876, 54.2303, 101.068, 37.7089, 32.7206, 24.853
167, 27.0236, 61.5445, 67.4712, 20.1375, 27.0672, 45.9325, 42.6857, 82.0984, 128.686, 23.9817, 57.2601, 25.5502
168, nan, inf, inf, nan, inf, inf, nan, inf, inf, inf, inf, inf
