frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 64.48, 34.221, 20.0179, 68.6561, 39.1228, 6.46919, 12.677, 67.0728, 121.246, 13.2535, 66.7139, 108.33
1, 64.3501, 33.9933, 19.2656, 68.5787, 39.09, 6.5175, 12.8159, 67.3655, 121.755, 13.4466, 67.2128, 108.8
2, 64.3264, 33.9641, 19.0973, 68.5545, 38.8942, 6.00002, 12.8417, 67.3839, 121.823, 13.4791, 67.1508, 108.715
3, 64.4319, 34.1466, 19.5811, 68.5031, 38.8498, 6.21111, 12.7158, 67.2986, 121.738, 13.3816, 67.1841, 109.106
4, 64.675, 34.337, 20.1472, 68.693, 38.8842, 5.74371, 12.5556, 67.1287, 120.964, 13.165, 67.4379, 109.342
5, 64.8895, 34.3797, 20.025, 68.895, 39.0272, 6.04906, 12.479, 66.9302, 121.387, 12.9856, 68.0479, 109.97
6, 63.9671, 34.3088, 19.8747, 68.8149, 38.9545, 5.48621, 12.5077, 66.939, 121.483, 13.2599, 68.3112, 109.82
7, 64.2475, 34.3883, 19.8358, 68.818, 38.9301, 5.38975, 12.5451, 66.999, 121.649, 13.2073, 68.2598, 109.784
8, 64.1057, 34.1344, 19.31, 68.6303, 38.8686, 6.24224, 12.6371, 67.2124, 121.368, 13.4194, 67.1154, 108.718
9, 64.1652, 33.9657, 19.0853, 68.4003, 38.5939, 5.67792, 12.8126, 67.357, 121.334, 13.5868, 66.8764, 108.447
10, 63.9442, 34.0218, 19.0265, 68.4962, 38.5247, 5.57596, 12.7335, 67.3021, 121.165, 13.5363, 67.3939, 108.955
11, 64.5719, 34.1932, 19.3665, 68.7859, 38.798, 5.3695, 12.4975, 67.081, 121.975, 13.3161, 68.1591, 109.816
12, 64.4478, 34.1981, 19.5665, 68.5491, 38.6083, 5.37166, 12.7609, 67.2832, 121.506, 13.551, 67.7409, 109.494
13, 64.6448, 34.3009, 18.9806, 68.6584, 38.6494, 5.66194, 12.6767, 67.1498, 121.355, 13.4111, 67.1817, 109.012
14, 64.703, 34.1886, 19.2061, 68.6672, 38.6946, 5.73889, 12.6892, 67.2474, 121.285, 13.4616, 68.3716, 110.063
