frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 60.0439, 52.2153, 23.4468, 62.2014, 43.2204, 41.5682, 14.593, 65.1599, 93.2936, 16.5543, 71.783, 105.116
1, 61.3521, 33.0606, 30.7747, 67.0964, 48.661, 37.2047, 10.5813, 51.0162, 97.3921, 12.5364, 74.1664, 84.1071
2, 64.253, 33.2261, 31.1315, 69.1648, 49.5319, 38.6903, 9.48621, 58.1565, 103.812, 10.4785, 71.461, 94.3243
3, 65.5905, 33.399, 32.4573, 70.207, 51.1578, 39.788, 8.11241, 64.5782, 110.106, 10.9888, 69.7352, 96.2076
4, 68.175, 35.0324, 34.3812, 70.2147, 51.4601, 42.4771, 7.40231, 67.5226, 113.156, 13.7162, 76.8095, 83.1976
5, 69.6327, 35.8921, 37.1311, 70.2681, 51.9222, 44.1647, 7.53804, 70.0555, 117.66, 15.4112, 59.4099, 94.2345
6, 69.5699, 36.1823, 40.0992, 70.7203, 52.318, 47.0037, 7.75942, 69.6378, 120.698, 16.4345, 59.1744, 93.3097
7, 69.3282, 36.4264, 41.4211, 70.4974, 51.3394, 49.3132, 7.38443, 72.487, 118.14, 16.6199, 57.9627, 92.223
8, 69.9985, 37.1702, 44.2947, 70.7186, 51.679, 50.0601, 10.378, 73.0718, 118.521, 13.3964, 55.5902, 90.1063
9, 70.2477, 37.0535, 45.2354, 70.6611, 51.2321, 51.1398, 10.369, 74.1192, 119.52, 13.6907, 54.8891, 88.145
10, 71.2195, 38.2559, 46.9833, 72.1045, 52.042, 51.4715, 9.79235, 73.8038, 134.573, 13.8378, 54.4082, 87.9213
11, 71.4618, 38.2035, 48.4425, 72.39, 51.3639, 51.2006, 9.78183, 73.7139, 135.336, 13.2345, 55.4573, 89.8064
12, 70.9877, 38.3078, 49.0452, 72.8961, 51.052, 50.8964, 10.2199, 73.3808, 135.858, 11.5506, 56.1669, 91.193
13, 70.9796, 38.1377, 49.6338, 72.1819, 48.7505, 49.7792, 11.0685, 73.8468, 137.064, 11.7987, 57.3369, 82.5741
14, 71.083, 38.0962, 48.867, 73.9148, 48.5897, 48.2619, 10.329, 72.4079, 144.17, 11.537, 56.5496, 84.4089
15, 70.7086, 37.3465, 44.9264, 74.1825, 47.8018, 47.0461, 11.5149, 73.6016, 140.523, 9.40883, 57.8619, 89.9414
16, 70.1317, 37.2441, 43.3879, 75.0402, 47.3666, 44.1497, 12.8873, 73.4302, 143.401, 10.2014, 58.5084, 91.0465
17, 71.9189, 37.3375, 42.9542, 77.7219, 47.5851, 39.4897, 11.024, 70.2885, 140.832, 8.05184, 70.1183, 106.391
18, 70.418, 31.3731, 38.7479, 77.9238, 48.0579, 37.887, 13.401, 64.4067, 132.311, 9.27187, 71.4127, 111.238
19, 70.3458, 30.1874, 37.7291, 77.9052, 47.6285, 33.2833, 11.7839, 66.2479, 133.912, 8.70228, 72.3926, 112.781
20, 71.4183, 29.8046, 34.9241, 79.1409, 48.3521, 30.5542, 9.83542, 66.6382, 123.08, 9.12511, 72.5806, 132.536
21, 72.743, 30.3688, 32.0162, 80.7176, 49.2035, 28.0688, 11.4389, 68.5027, 126.841, 7.22134, 73.1697, 136.306
22, 73.7535, 30.9073, 37.8801, 81.7678, 47.9895, 24.275, 8.74074, 68.1982, 124.118, 7.45403, 73.6485, 134.354
23, 73.6029, 30.5726, 35.883, 81.3502, 46.6824, 22.7518, 8.21818, 70.1982, 128.299, 8.9076, 75.4537, 127.85
24, 74.0132, 30.5295, 35.3274, 81.4838, 47.677, 21.1564, 7.36652, 70.7655, 130.132, 10.4839, 76.8747, 127.917
25, 73.1324, 30.0003, 20.2943, 80.084, 45.1625, 20.507, 8.88784, 73.1971, 134.419, 11.924, 79.0717, 129.24
26, 72.9962, 29.8856, 19.95, 79.8201, 45.2332, 19.9619, 9.10058, 73.8899, 135.847, 13.3469, 79.5535, 130.759
27, 72.8464, 29.3694, 19.7915, 79.7912, 44.2629, 20.4858, 9.04078, 74.6448, 135.469, 14.1701, 80.1996, 131.868
28, 72.8283, 29.5616, 20.1697, 79.6023, 44.3725, 20.4198, 9.73386, 75.6844, 134.574, 13.9884, 80.8544, 133.401
29, 72.8155, 29.5598, 19.8275, 79.3256, 45.2295, 20.6615, 9.82369, 76.2056, 138.825, 13.8291, 81.1418, 134.156
30, 72.6965, 29.3916, 20.6407, 79.1587, 45.1122, 20.616, 10.0748, 76.9605, 137.365, 11.9718, 81.3512, 135.63
31, 72.6185, 29.7916, 21.1096, 78.7829, 42.1167, 20.2544, 9.66035, 76.95, 135.925, 12.4534, 82.4456, 137.335
32, 72.9282, 30.0762, 22.1608, 79.0565, 43.4672, 20.2193, 9.85812, 77.2901, 135.058, 11.4676, 82.6339, 138.701
33, 73.0731, 30.0461, 22.8001, 78.6443, 43.0858, 18.7288, 9.82482, 77.4479, 134.545, 10.1303, 81.2301, 139.673
34, 73.5832, 30.899, 22.96, 79.0313, 42.4722, 18.1481, 9.69574, 77.7039, 133.817, 7.8915, 82.3074, 141.17
35, 73.489, 30.6326, 23.1891, 78.374, 42.8832, 18.235, 10.1715, 76.9612, 134.099, 8.10076, 81.352, 140.59
36, 73.4803, 30.8984, 23.733, 78.4108, 42.7381, 18.1936, 9.5653, 76.89, 134.113, 7.18048, 82.1425, 137.91
37, 69.3043, 38.6579, 18.9479, 74.6868, 40.1411, 22.5198, 13.416, 79.2096, 128.806, 8.92712, 86.1257, 138.571
38, 69.5528, 37.4626, 17.3343, 74.7699, 40.4976, 22.8635, 12.5018, 79.4382, 128.936, 8.46654, 80.9239, 135.743
39, 69.9878, 37.9934, 17.3351, 74.8482, 41.0216, 23.937, 10.9681, 79.35, 140.5, 7.61412, 81.0884, 134.261
40, 70.1136, 37.9312, 17.0012, 75.3501, 41.7613, 24.1957, 10.3349, 77.7365, 139.425, 7.01524, 82.5969, 135.747
41, 69.8001, 38.596, 16.9099, 75.2907, 42.0991, 25.1933, 10.1107, 76.1133, 138.289, 6.93805, 82.6447, 138.504
42, 71.1559, 39.0213, 29.2093, 77.3807, 44.5543, 24.9699, 9.20359, 71.7186, 136.68, 5.41398, 82.1461, 140.886
43, 71.0627, 38.6473, 30.31, 77.9599, 46.251, 27.543, 9.03067, 71.6451, 135.761, 5.31269, 82.5736, 142.76
44, 72.256, 36.3062, 34.9965, 78.7414, 47.2907, 28.3791, 8.77268, 72.256, 137.422, 4.36613, 81.4363, 143.878
45, 73.973, 37.7442, 39.7212, 81.1008, 50.4027, 30.2385, 9.18006, 80.1246, 136.43, 4.07993, 78.0613, 146.616
46, 73.6508, 37.0221, 41.7541, 80.8577, 50.7169, 33.4943, 7.39446, 83.7673, 136.867, 6.48126, 79.5365, 139.201
47, 73.456, 38.351, 43.8109, 80.6342, 51.6748, 36.423, 8.22186, 84.6415, 135.017, 5.12204, 78.6245, 139.303
48, 72.8916, 37.7444, 45.9832, 79.7424, 50.2167, 38.3981, 9.0204, 84.5027, 135.049, 6.1832, 74.7208, 136.3
49, 72.7603, 38.4149, 47.3378, 79.3292, 50.0797, 39.9864, 9.01678, 86.6222, 134.109, 7.40978, 74.6118, 135.7
50, 72.777, 39.3949, 48.3676, 78.9954, 49.7693, 41.3811, 9.28576, 85.1719, 133.28, 8.57217, 73.8613, 135.032
51, 73.3058, 38.5202, 48.8236, 79.496, 49.5346, 42.1347, 9.39329, 83.6757, 133.36, 7.2894, 73.8734, 138.877
52, 73.7209, 38.9011, 49.3045, 79.0811, 48.8421, 41.0313, 9.29587, 83.0119, 131.71, 9.79822, 74.7807, 139.219
53, 73.6889, 37.7094, 48.1351, 78.9142, 47.1524, 40.4819, 9.86404, 79, 129.477, 10.2994, 73.2071, 139.968
54, 74.39, 38.8452, 44.9493, 79.5708, 45.773, 39.3985, 10.3862, 79.1571, 129.116, 8.33331, 75.1057, 140.836
55, 75.0233, 38.1003, 41.7333, 79.5527, 44.7008, 38.8863, 10.7143, 81.4016, 129.375, 6.14774, 77.8925, 139.51
56, 75.2709, 39.0085, 39.6964, 79.0947, 42.3597, 36.3097, 10.1535, 82.1215, 128.614, 6.8543, 78.0119, 139.339
57, 76.2393, 40.1344, 37.5072, 79.2955, 40.602, 33.5018, 9.08407, 84.2743, 129.424, 7.62756, 77.5, 138.968
58, 75.7767, 39.1622, 34.9634, 79.0042, 38.4808, 32.9119, 9.7357, 81.7722, 126.66, 5.842, 78.4456, 139.563
59, 76.4683, 38.6103, 29.0406, 79.8585, 39.5514, 31.8638, 14.7573, 80.2362, 130.093, 7.18961, 78.4176, 139.428
60, 77.0489, 39.0651, 28.6691, 80.5401, 37.4524, 28.3451, 12.3593, 81.4584, 129.368, 5.19027, 78.4665, 139.04
61, 77.043, 38.3637, 27.6692, 80.3047, 36.9051, 25.2788, 11.2799, 80.4487, 128.586, 5.60617, 79.1732, 139.378
62, 76.7376, 37.2535, 27.7531, 79.9389, 36.6912, 25.9703, 13.5687, 70.4765, 123.889, 8.18338, 80.1614, 140.059
63, 76.6517, 36.7104, 27.8816, 79.9498, 35.5046, 25.8957, 12.6832, 66.993, 120.795, 10.5926, 81.0796, 140.714
64, 77.8914, 37.0019, 27.0214, 81.7707, 37.2729, 24.3928, 11.1291, 70.1969, 130.935, 11.0906, 80.7807, 139.98
65, 78.7617, 37.5701, 24.1937, 82.5103, 38.785, 23.9425, 12.8382, 78.9778, 129.909, 10.699, 86.2105, 139.821
66, 79.2371, 37.5996, 23.4833, 83.1847, 39.5178, 24.4979, 12.5298, 79.8574, 131.606, 10.5479, 91.3723, 143.369
67, 81.5315, 39.6122, 38.2209, 85.5324, 42.1913, 27.2876, 10.4678, 78.6267, 130.762, 12.1585, 89.5852, 142.015
68, 81.2291, 38.8831, 35.8355, 85.3513, 39.6733, 30.9592, 11.2131, 79.7121, 132.945, 12.2665, 87.4964, 139.888
69, 80.8798, 38.2443, 35.4442, 85.505, 39.0769, 33.0211, 11.1352, 81.1073, 132.492, 13.7703, 88.3691, 140.556
70, 78.6828, 35.9332, 16.3611, 82.9504, 36.5589, 36.0722, 12.8948, 84.6679, 136.059, 14.8805, 87.5944, 143.478
71, 79.3236, 36.0037, 42.8043, 83.6403, 37.1779, 34.8667, 13.3286, 83.9157, 140.037, 17.2, 88.7025, 144.392
72, 76.9376, 41.0387, 41.3698, 80.8786, 34.455, 38.4053, 10.2312, 82.3452, 131.283, 14.6798, 90.4015, 148.101
73, 76.7769, 40.7655, 46.7799, 80.9278, 35.0945, 39.402, 10.5036, 81.4562, 135.302, 14.768, 90.2861, 148.969
74, 76.7133, 41.3572, 45.6532, 80.5558, 34.6686, 40.2824, 9.98967, 82.0543, 136.814, 14.8204, 89.0234, 150.316
75, 76.5601, 42.8051, 46.1518, 80.1934, 34.0102, 39.5031, 9.19638, 82.5815, 136.453, 13.5474, 87.3596, 152.63
76, 76.0865, 33.7352, 17.1865, 79.513, 33.951, 41.6702, 7.59012, 83.1353, 136.516, 8.7829, 87.8741, 150.685
77, 76.4507, 33.979, 18.0627, 79.8205, 34.023, 40.3704, 8.32197, 84.1716, 136.572, 7.02232, 86.262, 149.877
78, 76.73, 34.012, 19.2321, 79.9171, 32.7363, 39.9556, 8.83686, 84.8987, 134.962, 7.43674, 84.6634, 145.701
79, 76.5364, 33.8308, 19.752, 79.9571, 32.7794, 37.9643, 8.97407, 87.735, 134.291, 8.12145, 80.4729, 142.377
80, 77.2041, 34.2133, 22.855, 80.6087, 34.2778, 35.283, 9.85849, 88.737, 134.485, 5.36756, 81.2455, 140.435
81, 77.4002, 34.552, 24.5039, 80.708, 34.6857, 30.8592, 9.41609, 90.8793, 131.598, 7.08794, 81.1036, 137.153
82, 76.4256, 34.016, 24.7965, 79.4222, 34.2723, 31.4339, 10.7597, 93.0787, 130.198, 10.9377, 83.1343, 136.486
83, 76.1845, 33.6621, 24.7093, 79.2513, 34.2045, 30.3534, 10.5158, 73.0089, 138.9, 10.9056, 84.6043, 137.864
84, 76.9281, 34.7124, 25.6349, 79.9014, 33.8536, 29.0155, 12.1612, 75.4201, 138.882, 19.6484, 83.1573, 140.831
85, 76.8035, 34.93, 26.1494, 79.5977, 32.9336, 29.1788, 13.6991, 78.6624, 128.267, 21.1097, 84.5269, 141.573
86, 77.8994, 35.8047, 25.6844, 80.4821, 34.3097, 27.082, 15.2627, 83.5002, 140.849, 22.3473, 82.9742, 141.394
87, 77.4448, 34.9351, 24.7455, 79.8715, 34.1591, 25.6322, 15.1816, 82.6738, 133.439, 22.2803, 82.223, 138.836
88, 76.5735, 33.8316, 32.3564, 79.1239, 33.8768, 23.374, 18.4777, 81.9921, 136.471, 26.0338, 81.912, 139.023
89, 75.8566, 33.0566, 33.7003, 78.202, 33.4949, 23.4282, 16.7231, 82.0397, 142.318, 23.7577, 74.7536, 135.351
