frameNum, leftShoulder, leftElbow, leftWrist, rightShoulder, rightElbow, rightWrist, leftHip, leftKnee, leftAnkle, rightHip, rightKnee, rightAnkle
0, 66.0455, 32.0852, 22.234, 65.5123, 33.628, 32.7585, 9.83098, 59.1874, 101.493, 7.18965, 50.8881, 104.589
1, 66.1698, 31.3689, 34.2959, 67.0539, 32.5826, 35.202, 8.13672, 57.9132, 94.8091, 8.5744, 52.569, 106.907
2, 57.192, 22.9742, 72.5164, 57.9563, 26.5773, 43.8345, 16.1243, 67.3371, 112.431, 17.4694, 61.616, 116
3, 55.3309, 24.8173, 62.0896, 59.4013, 33.1008, 42.3187, 16.6392, 66.9043, 113.526, 16.8014, 60.8796, 117.159
4, 52.7759, 19.2803, 99.3399, 58.4666, 35.0772, 42.8248, 18.3155, 67.3011, 115.151, 18.6796, 62.7019, 119.685
5, 50.8656, 33.2084, 80.5786, 56.5523, 37.4833, 42.2247, 21.109, 72.2989, 120.558, 21.128, 65.5069, 123.108
6, 55.2744, 19.9421, 61.8091, 60.3794, 42.2021, 38.1334, 18.2045, 69.1594, 113.113, 17.8209, 62.4699, 119.297
7, 57.1061, 20.5675, 62.2936, 61.1153, 43.1139, 39.6002, 17.6975, 68.7954, 116.329, 18.1113, 62.7006, 121.364
8, 56.6375, 20.9628, 67.1947, 60.8491, 44.6366, 41.6645, 17.8, 68.889, 115.735, 18.7124, 64.2194, 121.249
9, 56.5725, 20.0545, 64.4115, 61.075, 44.4524, 43.8292, 18.2214, 69.2397, 113.873, 18.263, 68.1655, 108.693
10, 56.8092, 20.4495, 71.5771, 61.2265, 44.7845, 47.0564, 17.6659, 67.6974, 113.735, 18.485, 69.8109, 108.661
11, 57.2415, 21.0259, 67.1174, 61.2855, 44.9434, 46.5496, 18.4218, 67.9894, 113.696, 17.0445, 68.6791, 109.551
12, 58.2394, 24.7786, 66.4043, 61.6265, 44.5236, 46.3242, 18.2352, 67.6079, 112.574, 16.7639, 68.6049, 109.383
13, 65.5312, 34.1747, 34, 70.5518, 51.5934, 41.1755, 10.2511, 59.5985, 106.099, 10.1567, 61.0691, 102.889
14, 64.3846, 38.7797, 36.7125, 69.9838, 51.9517, 42.6997, 10.2566, 56.9077, 107.144, 11.5438, 61.4836, 104.383
15, 64.6551, 37.286, 39.2266, 69.671, 52.576, 43.9123, 10.096, 55.8899, 106.684, 11.6709, 63.5066, 102.954
16, 65.6804, 36.5292, 40.832, 71.1804, 53.7866, 43.2431, 8.69693, 52.8606, 103.8, 12.1706, 67.4634, 115.136
17, 65.0895, 35.7399, 43.7751, 71.7922, 53.7807, 43.8419, 8.23517, 52.1176, 103.896, 12.3263, 67.755, 117.719
18, 65.1035, 35.7706, 44.5837, 72.0199, 54.6552, 44.6205, 7.34431, 52.4587, 104.714, 13.3707, 66.9073, 119.543
19, 63.9798, 34.7728, 43.9497, 71.704, 53.9977, 45.464, 7.76371, 47.9838, 100.876, 14.6516, 65.7121, 120.914
20, 65.922, 36.7193, 47.116, 72.448, 53.5123, 43.4835, 7.48499, 60.3817, 100.763, 12.9972, 65.474, 122.275
21, 65.0658, 35.776, 47.2426, 72.3692, 52.4021, 43.4319, 6.88348, 60.4711, 100.962, 13.4227, 63.8673, 122.031
22, 64.936, 35.909, 45.7209, 71.8544, 51.6, 42.1183, 8.50985, 61.9475, 103.247, 13.5319, 60.3083, 115.801
23, 64.9389, 35.0995, 46.6228, 72.0724, 51.2613, 42.1581, 8.49808, 62.2123, 104.032, 13.172, 57.1668, 114.493
24, 64.6958, 34.7493, 45.8789, 71.2728, 49.4615, 41.9159, 9.81459, 62.5518, 104.194, 12.0819, 57.4517, 104.141
25, 65.0832, 35.2412, 44.0771, 71.0144, 48.5424, 40.8383, 10.0116, 62.3689, 103.982, 12.0057, 54.8151, 111.036
26, 66.0611, 35.4466, 40.8836, 71.6188, 46.0132, 39.6883, 9.82397, 61.0809, 114.648, 11.2661, 54.3317, 111.375
27, 66.4965, 34.481, 38.4537, 71.4005, 44.8859, 41.1568, 10.2047, 60.1793, 112.864, 10.145, 54.1868, 112.185
28, 67.8476, 34.0377, 35.1908, 72.4351, 43.4348, 39.804, 9.57745, 58.7014, 112.691, 9.96002, 65.6297, 114.523
29, 67.7014, 33.7409, 31.6011, 71.6598, 41.4424, 40.0527, 10.8084, 58.3375, 112.467, 7.8187, 61.2774, 117.107
30, 69.0323, 34.6601, 30.3009, 71.1143, 38.954, 40.642, 11.7099, 59.0088, 114.486, 6.90411, 55.0076, 112.016
31, 70.3715, 35.2253, 27.3164, 71.2848, 38.5523, 39.9102, 10.2166, 58.6518, 113.684, 5.7515, 58.3846, 115.504
32, 71.4433, 35.3122, 25.2029, 72.0764, 37.354, 37.1194, 9.69481, 58.4373, 111.118, 5.92808, 64.7716, 121.095
33, 70.5162, 34.2203, 26.8683, 72.375, 36.183, 34.9501, 8.51859, 58.973, 97.3733, 7.35348, 67.2355, 123.152
